site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2017-05-02T00:00:00,Avg,722.9,0.2524,2.6,5.3,8,60.1,12.8,3,32.8,258,8.5,395
Parkway East,2017-06-08T00:00:00,Avg,728.1,0.6681,9.7,12.9,22,71.1,16.5,6,55.1,36,1.5,1393
Parkway East,2017-05-12T00:00:00,Avg,726.5,0.42,6.5,9.1,15.2,77.5,12.3,4,77.6,167,1.3,879
Parkway East,2017-04-14T00:00:00,Avg,735.5,0.4836,5.8,10.9,16.9,45.9,16.4,9,46.6,87,1.7,1328
Parkway East,2017-04-29T00:00:00,Avg,730.9,0.5645,4.3,8.5,12.9,83.2,18.4,7,37.5,227,3.6,913
Parkway East,2017-10-07T00:00:00,Avg,727.9,0.271,1,7.2,8.1,67.8,22.4,10,34.4,169,3.7,1190
Parkway East,2017-05-14T00:00:00,Avg,724.8,0.4727,2.6,6.8,9.3,58.4,15.5,10,39.6,317,4.8,1156
Parkway East,2017-04-26T00:00:00,Avg,723.1,0.2579,3,7.1,10.2,73,18.5,6,41.5,151,1.9,756
Parkway East,2017-05-04T00:00:00,Avg,727.7,0.2131,1.4,4.7,6.2,69.6,12.8,6,61.4,181,2.1,514
Parkway East,2017-07-22T00:00:00,Avg,726.4,0.2968,1.1,5,6.1,87.6,23.7,12,25,210,4.2,784
Parkway East,2017-05-09T00:00:00,Avg,728.1,0.6301,5,15.8,20.9,50.8,11.2,10,42.6,200,2.7,1341
Parkway East,2017-06-24T00:00:00,Avg,726.3,0.4385,3.2,6.8,10.2,65.5,22.8,7,45.9,271,4.3,628
Parkway East,2017-06-05T00:00:00,Avg,723.4,0.3846,2.2,9,11.2,80.2,19.7,12,34.6,222,3.6,1288
Parkway East,2017-05-06T00:00:00,Avg,717,0.3336,4.1,4.8,9,90.2,7.2,3,35.9,312,5.6,324
Parkway East,2017-04-19T00:00:00,Avg,732.7,0.1796,0.9,5.3,6.2,66.3,18.4,7,25.7,192,5.2,628
Parkway East,2017-06-04T00:00:00,Avg,727,0.517,1.5,9.5,11.1,73,19.7,19,33.5,181,3.6,1918
Parkway East,2017-05-24T00:00:00,Avg,720,0.2422,1.9,5.1,7.1,77.6,16.9,6,66.1,195,2.1,699
Parkway East,2017-05-11T00:00:00,Avg,725.7,0.5617,11.2,13.7,24.1,83.2,12.4,9,61.2,74,1.8,1485
Parkway East,2017-04-18T00:00:00,Avg,735.2,0.3118,4.1,8.8,13,46.6,15.6,5,51,131,2,719
Parkway East,2017-04-20T00:00:00,Avg,728.9,0.2897,1.7,9.2,11,79,19.6,9,20.4,204,5.8,911
Parkway East,2017-04-28T00:00:00,Avg,729.4,0.4603,6.2,10.1,16.4,66.8,16.3,8,40.9,167,2.8,1080
Parkway East,2017-04-15T00:00:00,Avg,732.5,0.4574,1.8,10.4,12.2,53,19.4,17,22.2,188,4.4,2016
Parkway East,2017-06-07T00:00:00,Avg,728.9,0.5529,13.9,9.7,23.7,76.2,15.6,4,42,48,2.6,930
