datetime,bp,co,no,no2,nox,out_rh,out_t,pm25t,uvpm
2018-08-07T00:00:00,729.1,0.4994,5.1,10.7,16,71.9,26.2,13,1398
2016-06-10T00:00:00,730.4,0.7468,3.6,15.6,19.3,54.1,21.5,14,1593
2017-01-19T00:00:00,729.9,0.3843,7.5,12.3,19.9,84.9,3.6,8,902
2016-10-20T00:00:00,727.4,0.4016,6.2,10.5,16.8,79.8,19.7,10,1155
2019-05-12T00:00:00,721.4,0.3713,2.6,5.6,8.3,94.1,12.8,7,387
2016-08-06T00:00:00,726.2,0.6182,4.4,8,12.5,65.5,26,7,851
2019-05-19T00:00:00,726.3,0.2792,1.4,9.5,10.9,61,24.6,16,1272
2017-02-13T00:00:00,731.7,0.5663,9.1,11.7,20.9,62,1,6,855
2017-11-17T00:00:00,732.4,0.4443,10.1,11.5,21.8,68,3.7,8,1001
2018-09-20T00:00:00,731.4,0.3111,4.4,7.2,11.6,77.5,23.3,13,1258
2020-02-26T00:00:00,721.9,0.3285,3.9,10.5,14.5,91.3,7.8,8,828
2019-11-27T00:00:00,722.1,0.3123,2,7.2,9.4,67,10.4,6,631
2019-12-24T00:00:00,730.8,1.3418,42.5,22.2,64.8,91.4,1.4,28,4030
2017-07-23T00:00:00,724.5,0.2523,1,4.1,5.2,85.4,23.9,9,706
2017-06-28T00:00:00,732.4,0.9741,7.8,10.9,18.8,63.9,18.4,22,2528
2017-06-26T00:00:00,730.2,0.3215,4.2,9.2,13.5,56.3,18.4,5,726
2020-02-24T00:00:00,726.6,0.5975,3.4,16.1,19.6,47.9,8,14,1669
2017-04-15T00:00:00,732.5,0.4574,1.8,10.4,12.2,53,19.4,17,2016
2016-07-06T00:00:00,727,0.4778,4,10.3,14.4,71,25.5,12,1595
2018-07-17T00:00:00,727.1,0.5182,6.3,9.3,15.6,66.9,25.8,10,1133
2019-06-03T00:00:00,729.8,0.4316,6.2,7.7,14,54.3,14.9,5,710
2019-09-19T00:00:00,734,0.2218,1.1,5,6.2,61.8,18.5,7,652
2019-09-24T00:00:00,727.5,0.799,11.9,14.6,26.6,66.1,18.4,7,1345
2019-04-01T00:00:00,735.4,0.3089,5.8,8.3,14.2,54.5,1.6,5,601
